age,proba
0,0.010060382862963112
1,0.010898387507505183
2,0.011483353945683566
3,0.012832096035811997
4,0.013187070485651684
5,0.013201741836156654
6,0.01308363507956022
7,0.013137121113054647
8,0.012427744620919357
9,0.011587620705589063
10,0.01172911439898673
11,0.01167215984835016
12,0.011047172582714423
13,0.010185944546383717
14,0.010210176465750028
15,0.010258899250752596
16,0.010146216737073931
17,0.009806281614017552
18,0.0091653759671558
19,0.00942321149388897
20,0.008913850552158627
21,0.009304137095968008
22,0.009022253638007698
23,0.009547151355934664
24,0.010155654647175827
25,0.01073544897433086
26,0.010907096279425921
27,0.012583466730412877
28,0.0139892247005576
29,0.016025666754276822
30,0.016302173669948038
31,0.017009260531906985
32,0.01777696807853486
33,0.017630813352278205
34,0.017367764828268538
35,0.016893232159845624
36,0.017190359375854992
37,0.016114751085512986
38,0.015323438542067082
39,0.016272762825182852
40,0.014936906719171885
41,0.014799426692958344
42,0.014306604240626776
43,0.01441219298938409
44,0.014509733960646573
45,0.013916856032483856
46,0.013494971229365816
47,0.01351644332664457
48,0.013002721184578332
49,0.013503032635611695
50,0.012087802683487452
51,0.011901647572900019
52,0.011649883654759477
53,0.011995386122619646
54,0.012642417893078224
55,0.012834569654127511
56,0.013701126532118638
57,0.014141669095423677
58,0.01472397111277185
59,0.015760798792002022
60,0.014512895830890096
61,0.014316805360787452
62,0.01378704899311128
63,0.013171036260041749
64,0.01308050728119432
65,0.012806651157602263
66,0.011417261317468196
67,0.011348899502203054
68,0.01071451521271857
69,0.010536789484655355
70,0.01035539762255978
71,0.008379951044163355
72,0.007968103816193397
73,0.006955630715088983
74,0.004184844297311477
75,0.0030331875761123155
76,0.002715848922296289
77,0.0038681053085416355
78,0.0057546651725921185
79,0.00597471498704008
80,0.006082388934707993
81,0.00570123365410189
82,0.005373618921994412
83,0.003955840393423882
84,0.003147158006765176
85,0.002201056923272653
86,0.001828412797697068
87,0.0019734499663676495
88,0.0016510414171611461
89,0.0017304561495275696
90,0.0012135925803443835
91,0.0010607733948244408
92,0.0007785219605857882
93,0.0005894025966450512
94,0.00043013019750309014
95,0.00031141014710942027
96,0.00019885710656572576
97,0.0001214935012322776
98,8.896848685224165e-05
99,7.59530295998074e-05
100,0.0001560355707676646
